GISCO_ID;LAU_CODE;LAU_LABEL;name;iso;country;year;lat;lng;hdd;cdd;odiac_c;pm25;interpolated_population;interpolated_pop_density;BCSMASS;DMSSMASS;DUSMASS;SO2SMASS;SO4SMASS;gdp_pc;emissions
AL_AL224;AL224;TiranÃ«;Tirana;ALB;Albania;2011;41.33;19.82;919.4322876;0;168667.9195;18.05029337;537615.6239;483.0827766;0.112814511;0.996688241;4.97291235;0.214391109;1.859573648;12836.54051;681448
AT_20101;20101;Klagenfurt am WÃ¶rthersee;Klagenfurt;AUT;Austria;2011;46.62;14.31;3533.58168;0;192736.7901;15.53661964;91345.51578;757.1607181;0.073485279;0.293213836;1.660604288;0.353671959;0.827746931;37480.45703;1027134
AT_31715;31715;Laxenburg;Laxenburg;AUT;Austria;2008;48.07;16.36;4198.085425;0;7252.094894;18.00769234;3038.795209;293.5039985;0.114266657;0.077736111;3.846727464;0.819902837;1.510525066;36634.12109;21504
AT_31715;31715;Laxenburg;Laxenburg;AUT;Austria;2014;48.07;16.36;4250.559937;0;7917.187286;15.47692321;3092.115131;298.6537337;0.167375007;0.09348436;3.671484482;0.785423993;1.639451551;36582.01563;19648
AT_31943;31943;Traismauer;Lower Austria;AUT;Austria;2005;48.33333333;15.75;4357.967133;0;10145.3006;18.89811311;5762.670399;140.6551045;0.128828847;0.084921882;3.318044177;0.78718052;1.691685259;33176.00781;12954000
AT_32135;32135;Tulln an der Donau;Tulln;AUT;Austria;2001;48.33;16.05;4351.696411;0;33314.08808;14.46551722;12831.35934;190.0474243;0.058095909;0.044550124;2.53416003;0.41761179;0.975391212;31356.53125;80353
AT_40301;40301;Wels;Upper Austria;AUT;Austria;2018;48.16667;14.03333;4155.830383;0;77890.6868;14.09821423;56831.49628;1207.707875;0.08109113;0.154555778;1.902793964;0.287531952;0.857123881;45212.6046;22894000
AT_50619;50619;Saalfelden am Steinernen Meer;Saalfelden;AUT;Austria;2014;47.43;12.85;3981.547265;NA;29027.26306;8.092766453;15598.86042;131.8027919;0.10155527;0.203704923;1.681221204;0.410258658;0.807931384;50405.4882;71430
AT_60101;60101;Graz;Graz;AUT;Austria;2008;47.06666667;15.43333333;3876.239844;0;269438.8181;15.94705885;240415.8583;1890.364587;0.06597264;0.118517916;1.931724368;0.378092812;0.770076752;38443.10547;1218740
AT_61008;61008;Gabersdorf;Gabersdorf;AUT;Austria;2012;46.78237883;15.58716383;3824.015463;0;3859.530376;10.89230772;1538.309861;76.785592;0.060563743;0.136860172;1.707201318;0.311283302;0.733878592;38611.74219;4159
AT_61760;61760;Gleisdorf;Gleisdorf;AUT;Austria;2007;47.11;15.71;3993.071411;0;13590.44817;13.59787241;9284.608485;233.0815729;0.129698239;0.238194322;3.310597158;0.630890042;1.572729356;38085.01953;23755
AT_61766;61766;Weiz;Weiz;AUT;Austria;2017;47.21;15.63;3959.855337;NA;7071.740869;11.86081686;9954.253682;553.0140934;0.117044576;0.213512905;2.844321709;0.599147709;1.326398593;41182.56365;80462
AT_62040;62040;Judenburg;Judenburg;AUT;Austria;2011;47.17;14.66;3903.018247;NA;13739.12111;7.600010895;9914.376022;762.6443094;0.082251007;0.214164756;1.652295476;0.483374701;0.843028147;38407.87918;67126
AT_80207;80207;Bregenz;Bregenz;AUT;Austria;2008;47.5;9.74;4016.847159;0;12206.39141;13.53235287;24466.92587;940.5880757;0.053631045;0.225606478;1.922106217;0.186568596;0.637248721;46155.92578;173063
AT_80207;80207;Bregenz;Bregenz;AUT;Austria;2013;47.5;9.74;4008.428772;0;9995.34803;12.55588234;24993.13722;961.0131299;0.057289106;0.261924633;1.273981938;0.193209982;0.618366351;46596.54297;155136
AT_80240;80240;Wolfurt;Wolfurt;AUT;Austria;2001;47.47;9.75;4121.88504;0;5132.076096;11.05833332;6985.988196;750.5147781;0.052997031;0.27629013;1.985086343;0.20377634;0.794456369;40927.5;39220
BE_11002;11002;Antwerpen / Anvers;Antwerp;BEL;Belgium;2005;51.22;4.4;5194.422775;0;1449635.592;14.4645522;418201.2197;2084.655493;0.365188531;0.980062686;6.796617315;1.136735719;3.852087209;43505.23405;3637212
BE_11002;11002;Antwerpen / Anvers;Antwerp;BEL;Belgium;2012;51.22;4.4;5142.440146;0;1322154.432;16.38619404;449793.1281;2242.243294;0.255733097;0.817575347;5.363028787;0.748426958;2.760337757;44225.36491;3021690.855
BE_11004;11004;Boechout;Boechout;BEL;Belgium;2012;51.16;4.51;5150.498267;0;50288.34009;15.9571428;11952.63865;582.897281;0.062371185;0.208782439;1.331780998;0.177307973;0.686666629;46805.97266;84959
BE_11007;11007;Borsbeek;Borsbeek;BEL;Belgium;2012;51.2;4.49;5150.498267;0;10581.26636;16.44000053;8717.205322;2308.991581;0.062371185;0.208782439;1.331780998;0.177307973;0.686666629;46805.97266;35814
BE_11009;11009;Brecht;Brecht;BEL;Belgium;2011;51.35;4.64;4938.967224;0;68871.93404;16.67416679;27925.93186;301.9692105;0.109715097;0.21798581;1.796711997;0.343251275;1.035466893;47074.41016;112562
BE_11013;11013;Edegem;Edegem;BEL;Belgium;2012;51.16;4.44;5150.498267;0;23640.65491;16.38749957;16866.0799;2232.114746;0.060012819;0.213437125;1.327077175;0.159361565;0.674734874;46805.97266;82112
BE_11016;11016;Essen;Essen;BEL;Belgium;2012;51.47;4.47;5150.498267;0;26810.64491;14.82786879;18922.79801;400.9603533;0.133349092;0.395355783;2.704170614;0.41175742;1.398936254;46447.13086;75198
BE_11021;11021;Hove;Hove;BEL;Belgium;2011;51.15;4.47;4938.967224;0;12297.73761;17.5;6158.736273;1037.190035;0.200457762;0.454024337;3.513348797;0.57925515;1.984975656;47074.41016;22568
BE_11022;11022;Kalmthout;Kalmthout;BEL;Belgium;2011;51.38;4.48;4938.967224;0;42543.14452;16.73947387;19496.50022;327.3019732;0.218957374;0.436508516;3.569490393;0.678631541;2.069626563;46913.88672;87167
BE_11023;11023;Kapellen;Kapellen;BEL;Belgium;2011;51.31;4.43;4938.967224;0;61687.86456;16.87872327;42035.71158;1184.415164;0.218957374;0.436508516;3.569490393;0.678631541;2.069626563;47010.20078;88918
BE_11024;11024;Kontich;Kontich;BEL;Belgium;2011;51.14;4.45;4938.967224;0;76640.888;17.51515134;28242.895;1136.83701;0.200457762;0.454024337;3.513348797;0.57925515;1.984975656;47074.41016;98663
BE_11029;11029;Mortsel;Mortsel;BEL;Belgium;2011;51.17;4.46;4938.967224;0;19834.50159;17.61000023;13502.8223;2085.568052;0.200457762;0.454024337;3.513348797;0.57925515;1.984975656;47074.41016;77207
BE_11030;11030;Niel;Niel;BEL;Belgium;2011;51.11;4.33;4921.093536;0;12491.95587;18.14000015;8926.957635;1555.357513;0.098827941;0.227767219;1.721877585;0.278423376;0.985503848;42003.89453;21706
BE_11035;11035;Ranst;Ranst;BEL;Belgium;2012;51.19;4.56;5150.498267;0;52267.61829;15.75344835;16106.80744;384.8659065;0.129432947;0.40580546;2.684965738;0.386516951;1.387915338;46805.97266;115848
BE_11037;11037;Rumst;Rumst;BEL;Belgium;2011;51.08;4.42;4930.03038;0;44084.53717;17.74999971;19210.2892;962.9671459;0.200457762;0.454024337;3.513348797;0.57925515;1.984975656;47074.41016;91505
BE_11038;11038;Schelle;Schelle;BEL;Belgium;2011;51.13;4.34;4930.03038;0;16233.87262;18.02727283;9781.679791;1355.592051;0.098827941;0.227767219;1.721877585;0.278423376;0.985503848;42003.89453;22953
BE_11039;11039;Schilde;Schilde;BEL;Belgium;2012;51.24;4.58;5150.498267;0;39618.82996;15.51521745;18258.13255;521.539541;0.067061762;0.197023021;1.35318474;0.209208978;0.70124871;46805.97266;91848
BE_11044;11044;Stabroek;Stabroek;BEL;Belgium;2012;51.33;4.37;5142.440146;0;54855.94293;16.16296291;21569.7571;1029.452215;0.06628733;0.198332762;1.350985874;0.202548442;0.697687544;46566.74479;52745
BE_11050;11050;Wijnegem;Wijnegem;BEL;Belgium;2011;51.23;4.52;4938.967224;0;19529.7149;17.31000023;8203.874261;951.5064911;0.109715097;0.21798581;1.796711997;0.343251275;1.035466893;47074.41016;55159
BE_11052;11052;Wommelgem;Wommelgem;BEL;Belgium;2011;51.2;4.52;4938.967224;0;29523.00488;17.62499988;15447.63813;1245.769287;0.211344918;0.444242928;3.588183209;0.644083048;2.034938701;47074.41016;74139
BE_11053;11053;Wuustwezel;Wuustwezel;BEL;Belgium;2011;51.39;4.59;4938.967224;0;56249.82442;16.69913816;19676.77983;221.3705791;0.109715097;0.21798581;1.796711997;0.343251275;1.035466893;46967.39453;98925
BE_11054;11054;Zandhoven;Zandhoven;BEL;Belgium;2011;51.22;4.66;4938.967224;0;38551.73462;16.38936128;12301.18762;304.2382003;0.211344918;0.444242928;3.588183209;0.644083048;2.034938701;47074.41016;57335
BE_11055;11055;Zoersel;Zoersel;BEL;Belgium;2012;51.27;4.71;5150.498267;0;29487.90616;15.31568621;21172.01918;538.5404836;0.067061762;0.197023021;1.35318474;0.209208978;0.70124871;46805.97266;74195.784
BE_11056;11056;Zwijndrecht;Zwijndrecht;BEL;Belgium;2011;51.22;4.32;4921.093536;0;101069.2245;17.78749975;19626.77456;1065.305182;0.208070218;0.446289925;3.494655981;0.613803643;2.019663517;40313.72266;73233
BE_12002;12002;Berlaar;Berlaar;BEL;Belgium;2012;51.12;4.66;5150.498267;0;22727.17297;15.68666665;11759.20747;473.1075092;0.062371185;0.208782439;1.331780998;0.177307973;0.686666629;46805.97266;50029
BE_12005;12005;Bonheiden;Bonheiden;BEL;Belgium;2011;51.03;4.55;4863.528534;0;39456.50195;17.181081;13624.05657;457.5908111;0.101629821;0.226257118;1.791471212;0.300831773;0.999471809;52443.9082;51748
BE_12007;12007;Bornem;Bornem;BEL;Belgium;2012;51.1;4.26;5134.382025;0;56476.18396;15.77796606;19169.44735;455.2625846;0.060012819;0.213437125;1.327077175;0.159361565;0.674734874;41764.37109;112892
BE_12007;12007;Bornem;Sint-Amands;BEL;Belgium;2012;51.06;4.21;5134.382025;0;56476.18396;15.77796606;19169.44735;455.2625846;0.060012819;0.213437125;1.327077175;0.159361565;0.674734874;41764.37109;31523
BE_12009;12009;Duffel;Duffel;BEL;Belgium;2012;51.1;4.51;5150.498267;0;43598.62433;16.39999968;18157.411;852.2571948;0.122384005;0.422219564;2.658858173;0.336669538;1.361401503;46805.97266;142045
BE_12014;12014;Heist-op-den-Berg;Heist-op-den-Berg;BEL;Belgium;2011;51.08;4.73;4863.528534;0;84761.54788;16.61607126;41952.54421;491.0433187;0.101629821;0.226257118;1.791471212;0.300831773;0.999471809;48864.24284;171365
BE_12021;12021;Lier / Lierre;Lier;BEL;Belgium;2014;51.13;4.57;5150.290222;0;73564.24622;13.70967734;34237.81711;660.220272;0.127631261;0.220702101;1.888143762;0.357739079;0.889321422;46976.13281;162528
BE_12025;12025;Mechelen / Malines;Mechelen;BEL;Belgium;2011;51.03;4.48;4882.716868;0;133042.0634;18.11724137;75886.702;1192.433206;0.200457762;0.454024337;3.513348797;0.57925515;1.984975656;52443.9082;493973
BE_12025;12025;Mechelen / Malines;Mechelen;BEL;Belgium;2015;51.03;4.48;5055.599752;0;131804.7679;14.29655191;78145.16832;1227.896014;0.183275853;0.435555344;2.165062789;0.534428471;1.553377785;52797.23242;465092
BE_12026;12026;Nijlen;Nijlen;BEL;Belgium;2011;51.16;4.67;4938.967224;0;33529.54459;16.57884609;20872.1674;537.0226232;0.101629821;0.226257118;1.791471212;0.300831773;0.999471809;47074.41016;63528
BE_12030;12030;Puurs;Puurs;BEL;Belgium;2012;51.08;4.28;5134.382025;0;58241.63501;16.10930243;21192.91118;643.694563;0.060012819;0.213437125;1.327077175;0.159361565;0.674734874;44789.33203;139668
BE_12035;12035;Sint-Katelijne-Waver;Sint-Katelijne-Waver;BEL;Belgium;2012;51.07;4.54;5150.498267;0;86990.00928;16.25999974;21154.48014;576.3085405;0.122384005;0.422219564;2.658858173;0.336669538;1.361401503;46805.97266;151393
BE_12040;12040;Willebroek;Willebroek;BEL;Belgium;2012;51.06;4.36;5142.440146;0;48115.83527;16.55882392;29461.11226;1074.985826;0.060012819;0.213437125;1.327077175;0.159361565;0.674734874;46805.97266;129507
BE_13001;13001;Arendonk;Arendonk;BEL;Belgium;2011;51.32;5.09;4936.632233;0;28336.00476;16.05970175;14620.97006;261.7631908;0.228063813;0.427405174;3.760638726;0.75498379;2.108388741;46994.14844;59690
BE_13003;13003;Balen;Balen;BEL;Belgium;2011;51.17;5.17;4936.632233;0;43189.73601;15.44574472;23221.27581;328.4255816;0.206695133;0.449195312;3.665334009;0.631083726;2.0146133;40251.125;84770
BE_13004;13004;Beerse;Beerse;BEL;Belgium;2011;51.31;4.85;4938.967224;0;54588.58905;16.67234084;16944.07905;440.3990862;0.109715097;0.21798581;1.796711997;0.343251275;1.035466893;47074.41016;221705.513
BE_13006;13006;Dessel;Dessel;BEL;Belgium;2011;51.24;5.11;4936.632233;0;19808.63792;15.96944446;8939.651814;335.584254;0.228063813;0.427405174;3.760638726;0.75498379;2.108388741;47074.41016;49750
BE_13008;13008;Geel;Geel;BEL;Belgium;2011;51.16;4.99;4937.799728;0;133825.3121;16.22000013;35658.49789;322.573773;0.211344918;0.444242928;3.588183209;0.644083048;2.034938701;47074.41016;218310
BE_13010;13010;Grobbendonk;Grobbendonk;BEL;Belgium;2011;51.19;4.74;4938.967224;0;32779.37424;16.25135149;12483.70472;420.735816;0.211344918;0.444242928;3.588183209;0.644083048;2.034938701;47074.41016;68822
BE_13011;13011;Herentals;Herentals;BEL;Belgium;2011;51.18;4.84;4938.967224;0;108535.1527;16.75645182;22875.01594;465.8045916;0.211344918;0.444242928;3.588183209;0.644083048;2.034938701;47074.41016;139313
BE_13012;13012;Herenthout;Herenthout;BEL;Belgium;2011;51.14;4.76;4938.967224;0;17352.56799;16.26896549;7460.613663;345.4352676;0.101629821;0.226257118;1.791471212;0.300831773;0.999471809;47074.41016;53731
BE_13013;13013;Herselt;Herselt;BEL;Belgium;2011;51.05;4.88;4938.967224;0;30761.93102;16.19076931;17309.09078;326.4567519;0.101629821;0.226257118;1.791471212;0.300831773;0.999471809;49759.15918;58894
BE_13014;13014;Hoogstraten;Hoogstraten;BEL;Belgium;2011;51.4;4.76;5013.66748;0;66309.61178;16.8255638;21605.43277;205.735413;0.109715097;0.21798581;1.796711997;0.343251275;1.035466893;46982.68248;168297
BE_13016;13016;Hulshout;Hulshout;BEL;Belgium;2011;51.08;4.79;4938.967224;0;15301.49576;16.23599998;9961.312793;511.6340739;0.101629821;0.226257118;1.791471212;0.300831773;0.999471809;47074.41016;35938
BE_13017;13017;Kasterlee;Kasterlee;BEL;Belgium;2011;51.24;4.97;4937.799728;0;35226.99683;16.16559139;18110.62809;250.8779954;0.211344918;0.444242928;3.588183209;0.644083048;2.034938701;47074.41016;80734
BE_13019;13019;Lille;Lille, Belgium;BEL;Belgium;2011;51.24;4.82;4938.967224;0;37387.63011;16.5473686;16042.48529;273.2713484;0.211344918;0.444242928;3.588183209;0.644083048;2.034938701;47074.41016;63401
BE_13021;13021;Meerhout;Meerhout;BEL;Belgium;2011;51.13;5.08;4936.632233;0;34307.08777;15.89791658;9464.19361;258.0439879;0.206695133;0.449195312;3.665334009;0.631083726;2.0146133;47074.41016;44631
BE_13023;13023;Merksplas;Merksplas;BEL;Belgium;2011;51.36;4.86;4938.967224;0;39351.8653;16.60714299;10832.65382;245.8842079;0.109715097;0.21798581;1.796711997;0.343251275;1.035466893;47074.41016;95729
BE_13025;13025;Mol;Mol;BEL;Belgium;2011;51.19;5.12;4936.632233;0;868991.9581;15.71575345;34573.39633;311.1878625;0.434758946;0.876600486;7.425972735;1.386067516;4.123002042;47074.41016;154265
BE_13029;13029;Olen;Olen;BEL;Belgium;2011;51.14;4.86;4938.967224;0;28207.56;16.73225803;11426.44569;529.3290193;0.101629821;0.226257118;1.791471212;0.300831773;0.999471809;47074.41016;90679
BE_13031;13031;Oud-Turnhout;Oud-Turnhout;BEL;Belgium;2011;51.32;4.98;4937.799728;0;24964.48894;16.20576936;15794.3241;391.7548737;0.109715097;0.21798581;1.796711997;0.343251275;1.035466893;47074.41016;50924
BE_13035;13035;Ravels;Ravels;BEL;Belgium;2011;51.41;5.01;4937.799728;0;35191.48429;16.19421503;18925.89651;200.3399677;0.228063813;0.427405174;3.760638726;0.75498379;2.108388741;46913.88672;87364
BE_13036;13036;Retie;Retie;BEL;Belgium;2011;51.27;5.08;4936.632233;0;30997.41959;15.96666665;10619.23247;216.7229652;0.228063813;0.427405174;3.760638726;0.75498379;2.108388741;47074.41016;47101
BE_13037;13037;Rijkevorsel;Rijkevorsel;BEL;Belgium;2011;51.35;4.76;4938.967224;0;36141.63084;16.80317412;10235.66324;226.7385412;0.109715097;0.21798581;1.796711997;0.343251275;1.035466893;47074.41016;83427
BE_13040;13040;Turnhout;Turnhout;BEL;Belgium;2011;51.32;4.95;4938.967224;0;59685.2065;16.31599983;36985.51097;657.8434138;0.109715097;0.21798581;1.796711997;0.343251275;1.035466893;47074.41016;242534
BE_13044;13044;Vorselaar;Vorselaar;BEL;Belgium;2011;51.2;4.77;4938.967224;0;37793.32251;16.369444;9649.816888;337.7786796;0.211344918;0.444242928;3.588183209;0.644083048;2.034938701;47074.41016;23932
BE_13046;13046;Vosselaar;Vosselaar;BEL;Belgium;2011;51.31;4.89;4938.967224;0;14786.44073;16.47999992;7394.069806;723.4037604;0.109715097;0.21798581;1.796711997;0.343251275;1.035466893;47074.41016;28336
BE_13049;13049;Westerlo;Westerlo;BEL;Belgium;2011;51.09;4.91;4938.967224;0;54414.31863;16.52173916;25692.65457;475.5128099;0.101629821;0.226257118;1.791471212;0.300831773;0.999471809;48864.24284;138089
BE_13053;13053;Laakdal;Laakdal;BEL;Belgium;2011;51.08;5.02;4937.799728;0;34436.67046;15.91636353;14848.52336;356.6987201;0.206695133;0.449195312;3.665334009;0.631083726;2.0146133;48379.64714;53288
BE_21004;21004;Bruxelles / Brussel;Brussels;BEL;Belgium;2008;50.85;4.35;5031.914648;0;306190.1288;17.61395352;190888.7842;5578.835472;0.070022409;0.191142438;2.0026418;0.24288794;0.712334969;57604.21094;1180676
BE_21004;21004;Bruxelles / Brussel;Brussels;BEL;Belgium;2014;50.85;4.35;5006.557236;0;202561.9124;13.38139536;211043.7386;6167.912851;0.125076407;0.225864242;1.887548691;0.315992675;0.893070405;57692.70703;983354
BE_21004;21004;Bruxelles / Brussel;Brussels Capital Region;BEL;Belgium;2015;50.85;4.35;4955.556671;0;213784.0453;13.73720936;214498.4977;6268.886657;0.091673351;0.220043226;1.09569441;0.25624459;0.78468877;58202.90625;3173383.466
BE_21012;21012;Molenbeek-Saint-Jean / Sint-Jans-Molenbeek;Molenbeek-Saint-Jean;BEL;Belgium;2005;50.86;4.34;5065.569641;0;82032.84082;14.75714288;78936.50146;12108.57808;0.085264441;0.254803103;1.666776351;0.249868936;0.940896976;56194.61719;199149
BE_21012;21012;Molenbeek-Saint-Jean / Sint-Jans-Molenbeek;Molenbeek-Saint-Jean;BEL;Belgium;2014;50.86;4.34;4997.086243;0;45685.36938;13.45714283;94405.56895;14481.47752;0.125076407;0.225864242;1.887548691;0.315992675;0.893070405;57692.70703;209934
BE_23002;23002;Asse;Asse;BEL;Belgium;2011;50.91;4.2;4771.594055;0;126856.1687;17.00468752;30874.85225;632.1625604;0.098827941;0.227767219;1.721877585;0.278423376;0.985503848;54333.40169;154418
BE_23003;23003;Beersel;Beersel;BEL;Belgium;2011;50.75;4.33;4771.594055;0;245748.612;16.69459436;28173.92035;907.8145566;0.189491159;0.465814258;3.385628019;0.512269863;1.931408087;57813.40625;102631
