GISCO_ID;LAU_CODE;LAU_LABEL;name;iso;country;year;lat;lng;hdd;cdd;odiac_c;pm25;interpolated_population;interpolated_pop_density;BCSMASS;DMSSMASS;DUSMASS;SO2SMASS;SO4SMASS;gdp_pc;emissions
AL_AL224;AL224;TiranÃ«;Tirana;ALB;Albania;2020;41.33;19.82;721.0422324;NA;168705.0074;67.31570579;733929.8997;659.9445047;0.095095897;1.336927907;4.725895536;0.214848958;1.789785882;NA;NA
AT_20101;20101;Klagenfurt am WÃ¶rthersee;Klagenfurt;AUT;Austria;2020;46.62;14.31;4207.121384;NA;174816.7903;-6.943873343;95239.47523;789.4452291;0.061162925;0.236563927;1.572473781;0.304603037;0.675745538;NA;NA
AT_31715;31715;Laxenburg;Laxenburg;AUT;Austria;2020;48.07;16.36;4846.803033;NA;7870.459112;36.30029211;3146.675873;303.9233008;0.116409205;0.104198838;3.408976481;0.678177603;1.615344095;NA;NA
AT_31943;31943;Traismauer;Lower Austria;AUT;Austria;2020;48.33333333;15.75;NA;NA;NA;NA;6182.974766;150.8513245;0.120925597;0.096733449;3.4205016;0.67064004;1.627359636;NA;NA
AT_32135;32135;Tulln an der Donau;Tulln;AUT;Austria;2020;48.33;16.05;4817.74516;NA;34720.69619;-0.207150382;15593.1262;230.9964948;0.058959135;0.04696779;1.68656721;0.310890859;0.79533954;NA;NA
AT_40301;40301;Wels;Upper Austria;AUT;Austria;2020;48.16667;14.03333;NA;NA;NA;NA;57241.3093;1216.416664;0.069155261;0.120616864;1.703064254;0.240339025;0.776812124;NA;NA
AT_50619;50619;Saalfelden am Steinernen Meer;Saalfelden;AUT;Austria;2020;47.43;12.85;4685.278136;NA;27250.56783;-7.122430709;16129.74589;135.8519346;0.067034467;0.211039048;1.624823045;0.347551139;0.728026727;NA;NA
AT_60101;60101;Graz;Graz;AUT;Austria;2020;47.06666667;15.43333333;NA;NA;NA;NA;285918.3156;2248.145151;0.065412353;0.125637803;1.603189461;0.33834192;0.748321169;NA;NA
AT_61008;61008;Gabersdorf;Gabersdorf;AUT;Austria;2020;46.78237883;15.58716383;4259.533128;NA;3640.025567;9.875810671;1596.94458;79.71239528;0.065412353;0.125637803;1.603189461;0.33834192;0.748321169;NA;NA
AT_61760;61760;Gleisdorf;Gleisdorf;AUT;Austria;2020;47.11;15.71;4458.423423;NA;10947.85363;40.09777804;10511.72779;263.8871424;0.128424818;0.230803628;3.212208384;0.611091012;1.497844658;NA;NA
AT_61766;61766;Weiz;Weiz;AUT;Austria;2020;47.21;15.63;4067.792292;NA;6899.054039;19.83727377;10012.19732;590.613066;0.130807074;0.222405966;3.247219822;0.619308188;1.516811232;NA;NA
AT_62040;62040;Judenburg;Judenburg;AUT;Austria;2020;47.17;14.66;4465.894898;NA;12142.11365;60.86386051;9240.216636;143.6098263;0.069870704;0.177665208;1.58348494;0.40758238;0.731024958;NA;NA
AT_80207;80207;Bregenz;Bregenz;AUT;Austria;2020;47.5;9.74;4712.718088;NA;9328.057198;-21.08536914;25748.51112;990.3434717;0.056328564;0.261059444;1.690857056;0.190918096;0.656806299;NA;NA
AT_80240;80240;Wolfurt;Wolfurt;AUT;Austria;2020;47.47;9.75;4639.796969;NA;5548.88222;-45.67984951;7514.581726;807.3011818;0.056328564;0.261059444;1.690857056;0.190918096;0.656806299;NA;NA
AT_90001;90001;Wien;Vienna;AUT;Austria;2020;48.21;16.36;4832.274095;NA;1389917.465;46.01840564;1819544.616;4516.883533;0.227146432;0.186425746;6.674479839;1.105093069;3.115718165;NA;NA
